       Omega           X           Y   Intensity
      564.00      377.00      199.00     634.829
      560.00      651.00     1890.00     491.880
      560.00      624.00      252.00      77.665
      564.00     1202.00     1745.00     447.982
      566.00      868.00      303.00     737.257
      574.00      878.00      304.00     200.354
      579.00     1815.00      728.00      87.796
      575.00      933.00     1943.00     106.930
      580.00      518.00      935.00      65.284
      580.00      868.00      307.00     115.935
      581.00     1110.00      353.00     251.005
      581.00     1153.00     1987.00     262.261
      608.00     1473.00     1371.50    1501.529
      652.00     1488.00     1350.00    1190.868
      681.00     1482.00     1361.00    2795.951
      580.00     1725.00     1399.00     108.056
      587.00     1727.00     1398.00     101.303
      608.00     1729.00     1393.00     121.563
      580.00     1816.00      731.00      92.298
      593.00      917.00     1941.00     110.307
      600.00      384.50      197.50     128.317
      601.00      385.00      195.00     128.317
      617.00      378.00      202.00     521.145
      633.00      361.00      214.00     580.801
      598.00      962.00     1701.00     158.707
      597.00      346.00      225.00      59.656
      617.00     1159.00     1986.00     194.726
      636.00     1169.00     1985.00     767.648
      636.00     1354.00      406.00      96.800
      652.00      427.00     1858.00     103.554
      653.00     1391.00     1924.00      86.670
      651.00     1950.00     1954.00      90.047
      658.00     1955.00     1951.00      92.298
      652.00     1105.00      354.00     184.596
      651.00     1225.00     1336.00      86.670
      657.00     1226.00     1336.00      79.916
      665.00     1715.00     1650.00      73.163
      679.00     1120.00      111.00     165.461
      695.00     1444.00     1638.00     874.016
      681.00      337.00      636.00      87.796
      687.00      337.00      637.00      96.800
      703.00      439.00     1867.00     219.489
      697.00      537.00      977.00      65.284
      704.00      536.00      974.00      66.409
      708.00      536.00      980.00      65.284
      716.00      536.00      975.00      66.409
      716.00      536.00      979.00      66.409
      723.00      537.00      979.00      64.158
      716.00      579.00      683.00    2332.210
      759.00      565.00      702.00    1947.260
      788.00      573.00      692.00    3064.965
      811.00      572.00      695.00    1293.296
      696.00      896.00       69.00     178.968
      697.00     1139.00      111.00     180.093
      702.00     1517.00     1057.00     175.591
      710.00     1518.00     1057.00     177.842
      716.00     1517.00     1057.00     183.470
      716.00     1517.00     1066.00     120.437
      722.00     1517.00     1058.00     194.726
      730.00     1518.00     1057.00     203.731
      737.00     1518.00     1058.00     193.600
      743.00     1518.00     1058.00     199.228
      745.00     1516.00     1058.00     199.228
      751.00     1517.00     1059.00     210.484
      766.00     1518.00     1059.00     232.996
      772.00     1517.00     1059.00     231.870
      781.00     1517.00     1059.00     242.001
      788.00     1517.00     1060.00     242.001
      801.00     1517.00     1061.00     252.131
      810.00     1517.00     1061.00     239.749
      716.00     1829.00      479.00     195.852
      722.00     1842.00      494.00     307.284
      708.00     1363.00      148.00     812.672
      722.00     1382.00      154.00    1115.454
      714.00     1334.00      393.00     229.619
      717.50     1234.00     1331.00     150.828
      717.00     1645.00      210.00     177.842
      731.00      320.00      668.00      74.289
      740.00      320.00      669.00      70.912
      746.00      318.00      672.00      66.409
      727.00     1708.00     1657.00      66.409
      744.00     1712.00     1653.00     149.703
      753.00      951.00     1571.00    3687.413
      760.00      536.00      982.00      61.907
      766.00      535.00      983.00      60.782
      766.00      657.00      131.00      85.544
      772.00      661.00      130.00      85.544
      774.00      976.00     1586.00     168.838
      795.00      608.00      416.00    1508.282
      783.00     1240.00     1327.00     292.652
      779.00     1336.00      137.50      95.675
      801.00     1487.00     1605.00     112.558
      810.00      141.00       59.00     133.944
      812.50       64.50      645.50     417.592
      812.00       72.00      630.00     290.401
      814.00      138.50       61.00     129.442
      817.33      315.33      677.67      99.051
      812.00      323.00      665.00      84.419
      824.00      336.00      405.00     103.554
      817.00      571.00      696.00    1645.604
      823.00      554.00      715.00     247.628
      832.00      569.00      699.00    3058.212
      853.00      560.00      710.00    2514.555
      814.00      807.00      732.00     209.359
      817.00      964.00     1573.00    8739.034
      817.00     1102.00      483.00    3188.779
      817.00     1213.00     1600.00     169.963
      830.00     1217.00     1600.00      87.796
      840.00     1245.00     1324.00     306.159
      839.00     1448.00     1899.00     517.769
      814.00     1466.00     1623.00    1746.906
      832.00     1480.00     1612.00    1590.450
      817.00     1517.50     1060.00     244.252
      824.00     1517.00     1061.00     252.131
      832.00     1517.00     1061.00     255.508
      845.50     1517.00     1061.50     245.377
      853.00     1517.00     1062.00     242.001
      859.00     1516.00     1062.00     253.256
      860.00     1516.00     1074.00      77.665
      866.00     1517.00     1062.00     222.866
      872.00     1517.00     1063.00     235.247
      880.00     1517.00     1063.00     220.614
      888.00     1517.00     1063.00     209.359
      894.00     1516.00     1074.00      67.535
      896.00     1517.00     1063.50     193.600
      901.00     1515.50     1075.00      66.409
      903.00     1516.00     1063.00     177.842
      908.00     1515.67     1075.67      64.158
      911.00     1516.00     1064.00     168.838
      916.50     1515.50     1075.00      64.158
      917.00     1517.00     1065.00     162.084
      923.00     1516.00     1077.50      68.661
      925.00     1516.00     1065.00     168.838
      816.00     1518.00     1046.00      87.796
      823.00     1519.00     1046.00      93.423
      837.00     1518.00     1047.00      82.168
